;Unnamed: 0;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
5318;7621640;5080356558;GLV5275;NY;PAS;05/03/2014;7;4DSD;NISSA;V;0;0;0;0;;0;0;0;;;1035A;;;;;RICHMOND AVE (N/B) @;LANDER AVE;0.0;1111.0;D;T;;;;BK;;2014.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5325;8803302;7685919709;535SH8;MA;PAS;06/14/2014;38;4DSD;TOYOT;T;29830;64130;51630;20150888;76.0;76;76;358230;T302;D;0358P;;K;F;522;Court St;;0.0;408.0;h1;;Y;0830A;0700P;GREEN;;0.0;;0.0;55 3;38-Failure to Display Muni Rec;;;
5332;7671859;4600302369;GKY1207;NY;PAS;05/06/2014;36;4DSD;CHRYS;V;0;0;0;0;;0;0;0;;;1105A;;;;;WB QUEENS BV 58 ST -;53 ST;0.0;1180.0;B;T;;;;BL;;2002.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
5334;8242425;7940630908;ENP9056;NY;PAS;05/24/2014;37;4DSD;AUDI;T;27590;29890;31490;20150201;7.0;7;7;359633;T101;F;0135P;0128P;NY;O;166;Orchard St;;0.0;408.0;h1;;Y;0900A;0700P;GREY;;2005.0;102-4102;0.0;61 1;37-Expired Muni Meter;;;
5343;8320505;7462728552;D5902;DE;PAS;05/28/2014;40;4DSD;BMW;T;35730;14480;14530;88880088;61.0;61;61;350415;T802;B;0314A;;K;F;1978;E 21st St;;0.0;408.0;e2;;YYYYYYY;;;GREY;;0.0;;0.0;A 31;40-Fire Hydrant;;;
5347;323973;7552744935;GAR4247;NY;PAS;08/06/2013;21;4DSD;PONTI;T;52130;47330;45930;20140930;83.0;83;83;355074;T301;A;1106A;;K;F;225;Irving Ave;;0.0;408.0;d1;;Y  Y;1100A;1230A;BL;;2005.0;;0.0;11 -;21-No Parking (street clean);;;
5350;447754;7600041352;115YAE;WA;PAS;08/10/2013;17;4DSD;HONDA;T;10410;17590;17610;20130088;13.0;13;13;338637;T108;D;0836A;;NY;O;284;5th Ave;;0.0;408.0;c4;;YYYYYYY;;;PURPL;;0.0;;0.0;01 -;17-No Stand (exc auth veh);;;
5356;7001597;7056155674;7BL3212;MD;PAS;04/17/2014;31;4DSD;BMW;T;17910;0;0;88880088;18.0;18;18;358577;T106;I;0426P;;NY;I;S;E 46th St;30ft E/of 5th Ave;0.0;408.0;l3;;YYYYY;0700A;0600P;BLUE;;0.0;;0.0;118;31-No Stand (Com. Mtr. Zone);;;
5361;8158530;4600459362;DBH9903;NY;PAS;05/21/2014;36;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;1055A;;;;;EB HORACE HRDNG EXPY;. PECK AV - FRANCS L;0.0;1180.0;B;T;;;;GY;;2005.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
5364;2775117;7732644116;GHS7749;NY;PAS;10/31/2013;21;4DSD;HONDA;T;75730;55430;58330;20150902;90.0;90;90;350323;T301;M;0936A;;K;F;91;Scholes St;;0.0;408.0;d1;;Y  Y;0930A;1100A;GY;;1997.0;;0.0;A -;21-No Parking (street clean);;;
5368;4427946;7089197694;628ZXN;CT;PAS;12/02/2013;37;4DSD;NISSA;T;26230;35680;67530;88880088;70.0;70;70;357066;T302;K;1257P;1251P;K;F;1911;Church Ave;;0.0;408.0;h1;;Y;0800A;0700P;SILVE;;0.0;316-3033;0.0;09 -;37-Expired Muni Meter;;;
5372;3298649;7782358905;DYS5174;NY;PAS;11/18/2013;20;4DSD;HONDA;T;7190;9140;9340;20150604;108.0;108;108;357061;T401;N;0351P;;Q;F;39-24;24th St;;0.0;408.0;d;;YYYYY;0800A;0600P;GR;;0.0;;0.0;P -;20A-No Parking (Non-COM);;;
5375;8771513;7072222376;GFE1433;NY;PAS;06/13/2014;31;4DSD;NISSA;T;34330;10410;13610;20150227;13.0;13;13;355675;T102;C;1246P;;NY;F;6;W 28th St;;0.0;408.0;l3;;YYYYY;0800A;0700P;BL;;2008.0;;0.0;03 6;31-No Stand (Com. Mtr. Zone);;;
5378;3208037;7127175792;ZO44SI;UT;PAS;11/15/2013;37;4DSD;HYUND;T;8390;37290;8440;20130088;114.0;114;114;355697;T401;Q;1142A;1130A;Q;F;33-20;33rd St;;20131115.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;407-2198;0.0;25 -;37-Expired Muni Meter;;;
5379;3796912;7958138337;GCV7260;NY;PAS;01/09/2014;38;4DSD;CADIL;T;0;0;0;20141204;120.0;120;120;355640;T303;N;0120P;;R;I;E;Winthrop Pl;45ft S/of Victory Bl;0.0;408.0;h1;;Y;0800A;0700P;GY;;2007.0;;0.0;B-PM;38-Failure to Display Muni Rec;;;
5382;5328131;7564758521;DRE8171;NY;PAS;02/11/2014;16;4DSD;MERCU;T;57320;71120;52220;20160226;49.0;49;49;358568;T202;A;0931A;;BX;O;1744;Paulding Ave;;0.0;408.0;k2;;YYYYY;0700A;0400P;GR;;2002.0;;0.0;08A;16A-No Std (Com Veh) Non-COM;;;
5383;2889663;7594469630;FSY3696;NY;PAS;11/04/2013;20;4DSD;SATUR;T;21190;37550;20840;20151018;34.0;34;34;331096;T108;A;0842A;;NY;R;701;Fort Washington Ave;;0.0;408.0;d;;YYYYY;0800A;0600P;TN;;1998.0;;0.0;01 -;20A-No Parking (Non-COM);;;
5385;8025978;7434756780;JMJ6741;PA;PAS;05/17/2014;14;4DSD;DODGE;T;26440;0;0;20150288;105.0;105;105;356248;T402;L;1147A;;Q;I;E;212th St;15ft N/of Jamaica Av;0.0;408.0;c;;YYYYYYY;;;BLACK;;0.0;;0.0;K 42;14-No Standing;;;
5386;8352866;7564350702;EUT3978;NY;PAS;05/29/2014;16;4DSD;HONDA;T;66330;19530;18630;20150906;94.0;94;94;357368;T301;O;0221P;;K;F;144;N 7th St;;0.0;408.0;k2;;YYYYY;1000A;0700P;BL;;2007.0;;0.0;S 31;16A-No Std (Com Veh) Non-COM;;;
5392;6193851;7485941148;EST1872;NY;PAS;03/15/2014;70;4DSD;NISSA;T;25390;35780;68190;20140208;103.0;103;103;340127;T402;L;0549A;;Q;F;9159;191st St;;0.0;408.0;j3;;YYYYYYY;;;BK;;0.0;;0.0;A 42;70A-Reg. Sticker Expired (NYS);;;
5393;8023539;7091994048;JMC8526;PA;PAS;05/17/2014;21;4DSD;SUBAR;T;7790;8640;8740;20150188;114.0;114;114;355272;T401;L;0740A;;Q;F;35-10;30th Ave;;0.0;408.0;d1;;Y;0730A;0800A;BLACK;;0.0;;0.0;R 41;21-No Parking (street clean);;;
5396;6341234;7926515693;FPJ5316;NY;PAS;03/20/2014;38;4DSD;TOYOT;T;36970;0;0;88888888;33.0;33;33;357330;T103;N;0246P;;NY;I;N;W 160th St;30ft E/of Broadway;0.0;408.0;h1;;Y;0930A;0700P;WHITE;;1995.0;;0.0;20 7;38-Failure to Display Muni Rec;;;
5400;3101163;7482758136;GGT4957;NY;PAS;11/12/2013;38;4DSD;NISSA;T;38690;45240;35780;20150528;101.0;101;101;355663;T402;R;0527P;;Q;O;1601;Central Ave;;0.0;408.0;h1;;Y;0800A;0700P;WHITE;;2010.0;;0.0;R -;38-Failure to Display Muni Rec;;;
5404;5066550;7514372489;FXN5500;NY;PAS;12/28/2013;46;4DSD;HYUND;T;63030;85330;83330;88888888;90.0;90;90;345440;T301;N;1058A;;K;O;960;Myrtle Ave;;0.0;408.0;f1;;;;;WHITE;;0.0;;0.0;Q -;46A-Double Parking (Non-COM);;;
5414;1938030;7895883422;GAC2737;NY;PAS;10/03/2013;31;4DSD;NISSA;T;34330;10610;10810;20140722;10.0;10;10;356323;T102;C;0109P;;NY;F;229;W 28th St;;0.0;408.0;l3;;Y;0800A;0600P;BK;;2013.0;;0.0;17 -;31-No Stand (Com. Mtr. Zone);;;
5416;4389857;5071920920;GKC5927;NY;OMS;12/03/2013;7;4DSD;DODGE;V;0;0;0;0;;0;0;0;;;0721P;;;;;GRAND CONCOURSE(S/B);@E 162 ST.-XZ-3;0.0;1111.0;D;T;;;;GY;;2014.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5419;639606;7000600731;9AX0579;MD;PAS;08/19/2013;38;4DSD;DODGE;T;19540;63500;9440;20141188;110.0;110;110;354002;T401;J;0255P;;Q;F;40-05;102nd St;;0.0;408.0;h1;;Y;0900A;0700P;GREY;;0.0;;0.0;17 -;38-Failure to Display Muni Rec;;;
5420;466711;7353469730;GGR2952;NY;PAS;08/12/2013;16;4DSD;ME/BE;T;10110;19250;19270;88888888;25.0;25;25;355560;T103;L;0709A;;NY;F;2252;2nd Ave;;0.0;408.0;k2;;YYYYY;0700A;0400P;GREY;;0.0;;0.0;CC1;16A-No Std (Com Veh) Non-COM;;;
5421;1313455;7688727110;GBP5878;NY;PAS;09/12/2013;37;4DSD;AUDI;T;64290;7790;7990;20141114;114.0;114;114;354004;T401;F;0306P;0249P;Q;F;30-93;Steinway St;;0.0;408.0;h1;;Y;0830A;0700P;BK;;2013.0;407-8579;0.0;28 -;37-Expired Muni Meter;;;
5422;7565473;7167939821;VNT72R;NJ;PAS;05/02/2014;38;4DSD;LEXUS;T;17390;48590;21950;88888888;120.0;120;120;353427;T303;A;0809A;;R;F;355;Bard Ave;;0.0;408.0;h1;;Y;0800A;0800P;GREY;;0.0;;0.0;04-A;38-Failure to Display Muni Rec;;;
5428;5735280;7982349559;PHZ8818;GA;PAS;02/28/2014;20;4DSD;HONDA;T;14510;35010;35030;88880588;20.0;20;20;350513;T103;G;0830A;;NY;F;25;Central Park West;;0.0;408.0;d;;YYYYY;0800A;0600P;BLACK;;0.0;;0.0;32 7;20A-No Parking (Non-COM);;;
5436;8751588;4600763543;EWC9659;NY;PAS;06/12/2014;36;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;0156P;;;;;WB UNION TRPK @ CROS;S ISLAND PKWY;0.0;1180.0;B;T;;;;WH;;2010.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
5439;6361477;7805548146;GEP8359;NY;PAS;03/21/2014;46;4DSD;ME/BE;T;37230;31190;32790;20150118;33.0;33;33;358869;T103;K;1102A;;NY;F;609;W 173rd St;;0.0;408.0;f1;;;;;WH;;2013.0;;0.0;12 7;46A-Double Parking (Non-COM);;;
5440;387861;7446795001;T633600C;NY;OMT;08/08/2013;38;4DSD;LINCO;T;53790;18890;60810;20140331;106.0;106;106;355123;T402;A;1057A;;Q;F;9608;Liberty Ave;;0.0;408.0;h1;;Y;0900A;0700P;WH;;2005.0;;0.0;01 -;38-Failure to Display Muni Rec;;;
5453;368126;5070003550;DWT1446;NY;PAS;08/07/2013;7;4DSD;ME/BE;V;0;0;0;0;;0;0;0;;;0308P;;;;;HORACE HARDING EXPWY;.(E/B)@OCEANIA ST.-R;0.0;1111.0;D;T;;;;GY;;2006.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5456;4738520;7241880195;256183N;NJ;PAS;12/13/2013;21;4DSD;INFIN;T;51090;25090;25085;88888888;103.0;103;103;356555;T803;A;0345A;;Q;O;18120;Jamaica Ave;;0.0;408.0;d1;;Y;0300A;0600A;GREY;;0.0;;0.0;H -;21-No Parking (street clean);;;
5458;1373140;5070656764;GEP3052;NY;PAS;09/13/2013;7;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;1010P;;;;;FLATBUSH AVE.@EASTER;N PKWY.-KP-2;0.0;1111.0;D;T;;;;GY;;0.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5463;1815351;7207598520;WTB4715;VA;PAS;09/30/2013;40;4DSD;TOYOT;T;8540;0;0;20130088;108.0;108;108;355626;T401;L;0604A;;Q;I;E;34th St;7ft N/of Starr Ave;0.0;408.0;e2;;YYYYYYY;;;BLACK;;0.0;;0.0;H -;40-Fire Hydrant;;;
5465;3296132;7570381488;8341TS;ME;PAS;11/18/2013;21;4DSD;DODGE;T;60520;18520;38620;20140888;43.0;43;43;355598;T202;O;0911A;;BX;O;2275;Randall Ave;;0.0;408.0;d1;;Y  Y;0830A;1000A;GREY;;0.0;;0.0;F -;21-No Parking (street clean);;;
5466;3442798;7811385016;FRG4890;NY;PAS;11/22/2013;20;4DSD;BMW;T;35190;11710;44990;20151013;20.0;20;20;355220;T103;M;0405P;;NY;O;211;W 71st St;;0.0;408.0;d;;Y;0800A;0600P;BK;;2001.0;;0.0;C -;20A-No Parking (Non-COM);;;
5470;2937735;7889059875;T624964C;NY;OMT;11/06/2013;19;4DSD;HONDA;T;10610;34530;34550;20140331;14.0;14;14;358944;T102;L;0622P;;NY;F;530;7th Ave;;0.0;408.0;c3;;YYYYYYY;;;BK;;2010.0;;0.0;99 -;19-No Stand (bus stop);;;
5477;8534482;8004301964;0L3237J;NJ;PAS;06/04/2014;20;4DSD;CADIL;T;27790;18130;18150;88888888;17.0;17;17;358119;T503;E1;0137P;;NY;F;460;Park Ave;;0.0;408.0;d;;YYYYY;1000A;0400P;BLACK;;0.0;;0.0;17 7;20A-No Parking (Non-COM);;;
5485;6241761;7007335317;T611051C;NY;OMT;03/18/2014;21;4DSD;LINCO;T;27890;19090;19070;20140430;110.0;110;110;356199;T401;A;1050A;;Q;F;98-02;Alstyne Ave;;0.0;408.0;d1;;Y;0930A;1100A;BL;;2004.0;;0.0;51-A;21-No Parking (street clean);;;
5487;3078329;7883976266;GFM3807;NY;PAS;11/11/2013;17;4DSD;BMW;T;34510;10610;10810;20150516;14.0;14;14;350439;T106;I;0310P;;NY;F;215;W 37th St;;0.0;408.0;c4;;YYYYYYY;;;BK;;2013.0;;0.0;91 -;17-No Stand (exc auth veh);;;
5491;6535940;7220623203;UMB86Y;NJ;PAS;03/27/2014;21;4DSD;HONDA;T;11710;35370;35390;88888888;20.0;20;20;351997;T103;A;0840A;;NY;F;432;Amsterdam Ave;;0.0;408.0;d1;;YY Y Y;0830A;0900A;GOLD;;0.0;;0.0;H 77;21-No Parking (street clean);;;
5494;3240441;5071672030;DCD2607;NY;PAS;11/15/2013;7;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;0441P;;;;;HORACE HARDING EXPWY;.(W/B)@159TH ST.-RM-;0.0;1111.0;D;T;;;;RD;;2005.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5495;5673376;7541944221;BZH6760;NY;PAS;02/26/2014;20;4DSD;SATUR;T;44330;45430;38730;20140923;75.0;75;75;350323;T301;M;0950A;;K;F;1172;Glenmore Ave;;0.0;408.0;d;;YYYYYYY;;;RD;;1998.0;;0.0;W 31;20A-No Parking (Non-COM);;;
5504;8928648;7760217780;GMR1276;NY;PAS;06/19/2014;21;4DSD;NISSA;T;10890;14840;15090;20160302;110.0;110;110;358151;T803;A;0007A;;Q;O;70-20;51st Ave;;0.0;408.0;d1;;Y  Y;1200A;0300A;GL;;2002.0;;0.0;F 42;21-No Parking (street clean);;;
5513;1332170;7793079917;EUX3826;NY;PAS;09/12/2013;37;4DSD;HONDA;T;7790;8940;9090;20131103;114.0;114;114;357709;T401;O;0630P;0615P;Q;O;37-15;30th Ave;;0.0;408.0;h1;;Y;0800A;0700P;GY;;2004.0;407-2253;0.0;R -;37-Expired Muni Meter;;;
5514;5709238;7407164708;ATE8820;NY;PAS;02/27/2014;71;4DSD;FORD;T;31920;12550;74960;20140710;50.0;50;50;358224;T201;I;0522P;;BX;F;3050;Fairfield Ave;;0.0;408.0;j6;;YYYYYYY;;;BL;;0.0;;0.0;U 21;71A-Insp Sticker Expired (NYS);;;
5522;3243438;7105901779;M42BBB;NJ;PAS;11/16/2013;38;4DSD;CHEVR;T;90930;17330;14330;88888888;62.0;62;62;347615;T302;Q;1232P;;K;O;1409;W 9th St;;0.0;408.0;h1;;Y;0900A;0700P;SILVE;;0.0;;0.0;R -;38-Failure to Display Muni Rec;;;
5524;6028938;7099471521;831HVQ;FL;PAS;03/10/2014;37;4DSD;MAZDA;T;64290;7790;7990;20140988;114.0;114;114;358867;T401;J;0449P;0443P;Q;F;30-27;Steinway St;;20140310.0;408.0;h1;;Y;0800A;0700P;GREEN;;0.0;407-8582;0.0;S 41;37-Expired Muni Meter;;;
5526;8821465;7204732649;FYC9399;NY;PAS;06/15/2014;20;4DSD;HONDA;T;28830;26005;38930;20140612;70.0;70;70;358949;T302;P;0339P;;K;F;1668;Coney Island Ave;;0.0;408.0;d;;YYYYYYY;;;GY;;2012.0;;0.0;02 3;20A-No Parking (Non-COM);;;
5533;117883;7148659085;GFW4210;NY;PAS;07/30/2013;71;4DSD;ISUZU;T;53790;0;0;20150716;103.0;103;103;355119;T402;M;1057A;;Q;I;N;Liberty Ave;60ft W/of Waltham St;0.0;408.0;j6;;YYYYYYY;;;GY;;2005.0;;0.0;D -;71A-Insp Sticker Expired (NYS);;;
5537;8758803;7451928100;FXX7559;NY;PAS;06/12/2014;70;4DSD;LEXUS;T;53790;20740;20840;20140604;106.0;106;106;358132;T402;E;0132P;;Q;F;114-12;Liberty Ave;;0.0;408.0;j3;;YYYYYYY;;;GY;;2006.0;;0.0;25 4;70A-Reg. Sticker Expired (NYS);;;
5538;5070156;7601979441;FMT5579;NY;PAS;12/31/2013;21;4DSD;TOYOT;T;7490;6440;6590;20151130;114.0;114;114;348516;T401;M;0839A;;Q;F;20-45;27th St;;0.0;408.0;d1;;Y;0830A;1000A;GY;;2007.0;;0.0;F -;21-No Parking (street clean);;;
5539;120043;7438296143;GFL7543;NY;PAS;07/30/2013;21;4DSD;INFIN;T;57190;22970;23010;20150411;105.0;105;105;353083;T402;M;1116A;;Q;F;145-20;Guy R Brewer Blvd;;0.0;408.0;d1;;Y;1100A;1230A;BK;;2013.0;;0.0;L -;21-No Parking (street clean);;;
5540;5576716;7098055700;GEA1428;NY;PAS;02/24/2014;20;4DSD;ACURA;T;13790;19190;19540;20150408;112.0;112;112;359333;T401;H;1242P;;Q;F;99-07;66th Ave;;0.0;408.0;d;;YYYYYYY;;;WH;;2004.0;;0.0;53-P;20A-No Parking (Non-COM);;;
5541;5354870;7029561788;DDJ5446;NY;PAS;02/12/2014;14;4DSD;TOYOT;T;73690;56230;59030;20150113;67.0;67;67;345534;T302;Q;0708A;;K;F;776;Rogers Ave;;0.0;408.0;c;;YYYYY;0700A;1000A;GREY;;2004.0;;0.0;T -;14-No Standing;;;
5545;7722171;7819768708;GBR5223;NY;PAS;05/07/2014;40;4DSD;MAZDA;T;33390;0;0;20141127;6.0;6;6;333032;T501;J;0338P;;NY;I;E;Washington St;16ft N/of Horatio St;0.0;408.0;e2;;YYYYYYY;;;GY;;2005.0;;6.0;CC1;40-Fire Hydrant;;;
5550;5902837;7509165283;JKB0500;PA;PAS;03/06/2014;51;4DSD;FORD;T;69230;0;0;20140588;88.0;88;88;355638;T301;D;1250P;;K;I;S;Park Ave;15ft W/of St Edwards;0.0;408.0;e3;;;;;WHITE;;0.0;;0.0;06 3;51-Sidewalk;;;
5551;3138673;7646267820;506ZMX;CT;999;11/13/2013;38;4DSD;ME/BE;T;76960;45250;32830;88880088;45.0;45;45;358923;T202;C;0515P;;BX;F;68;Westchester Sq;;0.0;408.0;h1;;Y;0830A;0700P;WHITE;;0.0;;0.0;09A;38-Failure to Display Muni Rec;;;
5553;1689153;7517933310;HHN4984;PA;PAS;09/25/2013;37;4DSD;TOYOT;T;26130;56820;52120;20140388;40.0;40;40;357734;T201;J;1229P;1209P;BX;O;225;E 149th St;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;202-5800;0.0;59 -;37-Expired Muni Meter;;;
5555;1630956;7099131904;DWV6489;NY;PAS;09/23/2013;21;4DSD;HONDA;T;37890;50090;51290;20150109;109.0;109;109;345223;T401;M;1108A;;Q;F;46-16;Burling St;;0.0;408.0;d1;;Y;1100A;1230A;GY;;2012.0;;0.0;B -;21-No Parking (street clean);;;
5557;6355917;7341549749;K68DUT;NJ;PAS;03/21/2014;37;4DSD;JAGUA;T;19270;24890;10210;88888888;23.0;23;23;356543;T103;C;1148A;1142A;NY;F;173E;E 116th St;;20140321.0;408.0;h1;;Y;0800A;0700P;WHITE;;0.0;128-9728;0.0;CC1;37-Expired Muni Meter;;;
5564;6206008;7249023676;CAK9141;NY;PAS;03/16/2014;20;4DSD;FORD;T;26230;40930;18630;20140929;70.0;70;70;357726;T302;R;0315P;;K;O;2261;Church Ave;;0.0;408.0;d;;YYYYYYY;;;GY;;2013.0;;0.0;09 3;20A-No Parking (Non-COM);;;
5572;304063;7145062586;DDE5694;NY;PAS;08/05/2013;21;4DSD;NISSA;T;24330;0;0;20141212;94.0;94;94;337779;T301;A;1209P;;K;I;N;Calyer St;10ft E/of Manhattan;0.0;408.0;d1;;Y  Y;1130A;0100P;GREY;;2005.0;;0.0;18 -;21-No Parking (street clean);;;
5573;1415042;7385847274;T35CZZ;NJ;PAS;09/16/2013;37;4DSD;CHEVR;T;42820;28020;10020;88888888;52.0;52;52;358190;T201;F;0151P;1259P;BX;O;3644;Jerome Ave;;0.0;408.0;h1;;Y;0800A;0700P;BLACK;;0.0;207-3029;0.0;31 -;37-Expired Muni Meter;;;
5574;1302150;5070619305;GFD7060;NY;PAS;09/11/2013;7;4DSD;AUDI;V;0;0;0;0;;0;0;0;;;0804P;;;;;E.135TH ST. W/B @ 3R;D AVE.-Y3-3;0.0;1111.0;D;T;;;;BK;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
5575;6167026;7582302904;CAS7551;GA;PAS;03/14/2014;21;4DSD;CHEVR;T;77150;28140;28170;20140488;47.0;47;47;356325;T202;O;0827A;;BX;F;3743;White Plains Rd;;0.0;408.0;d1;;Y;0800A;0830A;WHITE;;0.0;;0.0;B 22;21-No Parking (street clean);;;
5576;5375305;7377636415;GHS8652;NY;PAS;02/14/2014;20;4DSD;NISSA;T;34690;10810;10910;20150924;18.0;18;18;333012;T108;N;1031P;;NY;O;313;W 46th St;;0.0;408.0;d;;YYYYYYY;;;GY;;2005.0;;0.0;05 8;20A-No Parking (Non-COM);;;
5580;3999503;7459961383;T609026C;NY;OMT;01/16/2014;38;4DSD;LINCO;T;21390;0;0;20140228;106.0;106;106;353159;T402;J;0937A;;Q;I;E;121st St;30ft N/of Liberty Av;0.0;408.0;h1;;Y;0900A;0700P;BK;;2007.0;;0.0;25 -;38-Failure to Display Muni Rec;;;
5589;5810990;7298624787;E58DND;NJ;PAS;03/03/2014;20;4DSD;VOLVO;T;36670;10610;10810;88888888;32.0;32;32;344778;T103;AA;0710A;;NY;O;203;W 145th St;;0.0;408.0;d;;Y;0700A;1000A;GREY;;0.0;;0.0;L 77;20A-No Parking (Non-COM);;;
5590;7201078;7652707055;EGR4609;NY;PAS;04/18/2014;16;4DSD;ME/BE;T;10210;0;0;20160416;19.0;19;19;358896;T103;S;0348P;;NY;I;E;3rd Ave;5ft N/of E 84th St;0.0;408.0;k2;;YYYYY;0900A;0700P;BL;;2002.0;;0.0;20 7;16A-No Std (Com Veh) Non-COM;;;
5591;1946430;7068566972;C27DCU;NJ;PAS;10/03/2013;38;4DSD;NISSA;T;42630;9080;9130;88888888;66.0;66;66;357335;T302;K;0227P;;K;F;5008;Fort Hamilton Pky;;0.0;408.0;h1;;Y;0800A;0700P;BROWN;;0.0;;0.0;43 -;38-Failure to Display Muni Rec;;;
5592;6333233;7381623365;DYC2220;NY;PAS;03/20/2014;14;4DSD;HYUND;T;67730;25130;26230;20150313;70.0;70;70;332073;T302;L;0604A;;K;O;125;Ocean Pky;;0.0;408.0;c;;YYYYYYY;;;GREY;;2007.0;;0.0;R 32;14-No Standing;;;
5595;1188119;7380597085;F32BSV;NJ;PAS;09/07/2013;19;4DSD;HONDA;T;15220;14420;49170;88888888;49.0;49;49;345239;T801;B;0750P;;BX;O;2070;Bronx Park East;;0.0;408.0;c3;;YYYYYYY;;;BLACK;;0.0;;0.0;01 -;19-No Stand (bus stop);;;
5598;401104;7517423022;DNY9448;NY;PAS;08/08/2013;20;4DSD;TOYOT;T;38430;31830;68930;20140801;79.0;79;79;345162;T301;M;0736A;;K;O;1828;Eastern Pky;;0.0;408.0;d;;YYYYY;0700A;1000A;TN;;0.0;;0.0;A -;20A-No Parking (Non-COM);;;
5599;119910;7403489779;JHZ4507;PA;PAS;07/30/2013;21;4DSD;CHEVR;T;74690;42820;23520;88880088;46.0;46;46;356975;T201;M;0739A;;BX;F;4;W 183rd St;;0.0;408.0;d1;;Y;0730A;0800A;RED;;0.0;;0.0;D -;21-No Parking (street clean);;;
5601;7394852;7168716293;GGU7574;NY;PAS;04/29/2014;38;4DSD;NISSA;T;53000;28093;28093;20150529;120.0;120;120;349516;T303;M;1026A;;R;F;1861;Victory Blvd;;0.0;408.0;h1;;Y;0800A;0700P;BL;;2013.0;;0.0;C-AM;38-Failure to Display Muni Rec;;;
5604;8159321;7022748469;JMW7087;PA;PAS;05/22/2014;19;4DSD;HONDA;T;60820;12550;74840;88880088;52.0;52;52;355684;T801;B;0312A;;BX;F;2705;Reservoir Ave;;0.0;408.0;c3;;YYYYYYY;;;GREY;;0.0;;0.0;K 21;19-No Stand (bus stop);;;
5605;7856152;7280659718;PU73193;AZ;PAS;05/12/2014;20;4DSD;TOYOT;T;84030;56490;69230;20140088;79.0;79;79;354093;T301;O;0226P;;K;O;67;Taaffe Pl;;0.0;408.0;d;;YYYYY;0800A;0600P;GOLD;;0.0;;0.0;C 31;20A-No Parking (Non-COM);;;
5606;5384423;4002501619;FHP5516;NY;PAS;02/14/2014;5;4DSD;ME/BE;V;0;0;0;0;;0;0;0;;;0622P;;;;;NB 1ST AVE @ E 57TH;ST;0.0;1111.0;C;T;;;;BK;;2013.0;;0.0;;BUS LANE VIOLATION;;;
5610;8273762;7105970121;ENT3774;NY;PAS;05/27/2014;21;4DSD;AUDI;T;24830;71530;40730;20150129;78.0;78;78;347615;T302;Q;0928A;;K;F;800;Carroll St;;0.0;408.0;d1;;Y;0900A;1030A;BLACK;;2007.0;;0.0;J 32;21-No Parking (street clean);;;
5615;6572687;7314940393;GNR8068;NY;PAS;03/28/2014;20;4DSD;LEXUS;T;14130;67030;36180;20140508;63.0;63;63;357060;T302;B;1059A;;K;O;3013;Avenue K;;0.0;408.0;d;;YYYYYYY;;;BLACK;;2014.0;;0.0;18 3;20A-No Parking (Non-COM);;;
5619;3196458;7839137180;FPE4731;NY;PAS;11/14/2013;21;4DSD;TOYOT;T;34210;10610;10810;20150818;10.0;10;10;357792;T102;C;0907A;;NY;F;207;W 22nd St;;0.0;408.0;d1;;Y  Y;0900A;1030A;GREEN;;1995.0;;0.0;11 -;21-No Parking (street clean);;;
5621;4120992;7213982321;DWJ4697;NY;PAS;01/20/2014;38;4DSD;HYUND;T;88830;0;0;20141210;61.0;61;61;354111;T302;B;1212P;;K;I;N;Voorhies Ave;10ft E/of Sheepshead;0.0;408.0;h1;;Y;0900A;0700P;SILVE;;2002.0;;0.0;46 -;38-Failure to Display Muni Rec;;;
5622;3925080;7007318903;GLB9201;NY;PAS;01/14/2014;21;4DSD;NISSA;T;15090;7790;7990;20151029;115.0;115;115;355106;T401;M;1140A;;Q;F;30-11;71st St;;0.0;408.0;d1;;Y;1130A;0100P;GY;;2012.0;;0.0;V -;21-No Parking (street clean);;;
